Country,Access to electricity (%ofpopulation),Control of Corruption Percentile Rank, Intentional homicides (per100.000people),Net incurrence of liabilities.total(%ofGDP),GDP growth (annual%),Tax revenue(%ofGDP),Literacy rate.adult total(% of people ages 15 and above),Exports of goods and services (%ofGDP),Inflation.GDP deflator (annual%),Population living in slums (%of urban population),Oil rents (%ofGDP),Research and development expenditure (%ofGDP), Expense (%ofGDP),External debt stocks (%ofGNI),Government expenditure one ducation.total(%ofGDP)
Albania,100,31.73,2.12,6.26,-3.48,17.02,0,22.7,0.68,2.8,1.05,0,24.78,70.4,3.1
Andorra,100,88.46,2.59,0,-11.18,0,0,0,1.11,0,0,0,0,0,0
Austria,100,90.87,0.72,0,-6.45,24.19,0,51.61,2.56,0,0.02,3.2,50.63,0,5.07
Belgium,100,89.9,0,7.77,-5.36,21.97,0,79.45,1.51,0,0,3.48,44.04,0,6.71
Bosnia and Herzegovina,100,28.37,1.31,2.87,-3.12,19.01,0,34.65,0.18,0,0,0.21,38.89,70.09,0
Croatia,100,61.54,0.97,0,-8.58,20.6,0,41.48,0.73,0,0.19,1.25,45.55,0,5.54
Cyprus,100,65.38,1.24,0,-4.37,22.42,0,81.39,-1.21,0,0,0.82,42.48,0,6.06
Czech Republic,100,70.67,0.72,0,-5.5,14.34,0,69.95,4.32,0,0.01,1.99,38.29,0,5.08
Denmark,100,100,0.95,10.18,-1.99,34.07,0,54.93,2.61,0,0.18,2.96,39.73,0,6.38
Estonia,100,92.31,3.17,0,-0.55,20.69,0,69.27,-0.53,0,0.18,1.79,41.11,0,6.58
Finland,100,99.52,1.64,0,-2.21,19.85,0,35.92,1.48,0,0,2.94,41.15,0,5.88
France,100,84.62,1.35,0,-7.78,24.69,0,27.45,2.78,0,0,2.35,51.91,0,5.5
Germany,100,95.19,0.93,0,-3.7,10.55,0,43.01,1.81,0,0.01,3.14,32.57,0,4.66
Greece,100,58.65,0.75,0,-9,24.74,0,31.99,-0.86,0,0.01,1.5,58.51,0,4.44
Hungary,100,60.58,0.83,13.07,-4.55,22.87,0,78.73,6.4,0,0.1,1.61,44.07,0,4.76
Iceland,100,94.71,1.47,8.58,-6.84,22.33,0,34.45,3.61,0,0,2.47,36.92,0,7.72
Ireland,100,91.35,0.69,3.32,6.18,16.51,0,133.34,-1.57,8.5,0,1.23,25.8,0,3.1
Italy,100,68.75,0.47,0,-9.04,24.77,0,29.44,1.61,0,0.05,1.53,50.44,0,4.27
Kosovo,0,37.02,3.02,0,-5.34,0,0,21.7,1.38,0,0,0,0,39.07,0
Latvia,100,75.48,3.71,7.95,-2.2,21.77,0,59.9,0.97,0,0,0.71,49.23,0,5.97
Liechtenstein,100,95.67,2.62,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,100,79.33,3.71,0,-0.02,19.88,0,73.25,1.78,0,0.01,1.16,34.89,0,0
Luxembourg,100,96.63,0.16,0,-0.8,25.13,0,199.62,4.69,0,0,1.13,42.65,0,4.97
Malta,100,64.42,1.59,0,-8.32,23.73,0,152.16,1.52,0,0,0.68,43.36,0,5.87
Moldova,100,32.21,2.31,6.3,-7.38,17.41,0,27.14,5.43,0,0,0.23,31.81,67.15,6.39
Monaco,100,0,0,0,-12.97,0,0,0,2.78,0,0,0,0,0,0
Montenegro,100,55.77,2.87,0,-15.31,0,0,26,-0.18,8.8,0,0,0,216.64,0
Netherlands,100,96.15,0.62,0,-3.89,24.38,0,78.27,1.93,0,0.03,2.29,43.43,0,5.3
North Macedonia,100,34.62,1.68,10.08,-6.11,16.13,0,57.77,2.91,0,0,0.38,34.92,90.38,0
Norway,100,97.6,0.57,0,-0.72,21.09,0,32.25,-3.6,0,4.29,2.28,45.79,0,5.9
Poland,100,73.08,0.7,0,-2.02,17.48,0,52.99,4.26,0,0.03,1.39,41.11,0,5.19
Portugal,100,77.4,0.91,0,-8.3,22.04,0,37.05,2,0,0,1.62,44.58,0,5.01
Romania,100,52.88,1.46,0,-3.68,14.18,0,36.88,4.11,0,0.25,0.47,38.04,0,3.69
San Marino,100,0,0,0,-6.65,16.14,0,164.48,0.34,0,0,0,47.44,0,3.42
Serbia,100,38.46,1.02,0,-0.9,23.49,0,48.22,2.45,0,0.29,0.91,44.54,73.54,0
Slovak Republic,100,66.35,1.15,12.23,-3.37,18.5,0,85.07,2.37,0,0,0.91,42.63,0,4.61
Slovenia,100,78.85,0.53,0,-4.32,16.92,0,77.74,1.26,0,0,2.15,45.45,0,5.76
Spain,100,76.44,0.64,14.01,-11.33,13.58,98.59445953,30.8,1.23,0,0,1.41,41.98,0,4.59
Sweden,100,98.08,1.23,4.93,-2.17,26.58,0,43.85,1.99,0,0,3.53,34.72,0,7.17
Switzerland,100,97.12,0.54,1.31,-2.38,9.37,0,64.31,-0.74,0,0,0,20.1,0,5.22
Ukraine,100,23.08,6.31,6.01,-3.75,19.15,0,38.82,10.29,0,0.2,0.41,37.21,82.67,5.38
United Kingdom,100,94.23,0.9,18.68,-11.03,24.73,0,29.24,5.93,0,0.31,0,47.56,0,5.53
Bulgaria,99.7,45.67,0.99,0,-3.96,20.27,0,56.12,4.26,0,0.01,0.85,36.67,68.42,0
