Country,Access to electricity (% of population),Control of Corruption:Percentile Rank,Intentional homicides (per 100 000 people),Net incurrence of liabilities total (% of GDP),GDP growth (annual %),Tax revenue (% of GDP),Literacy rate adult total (% of people ages 15 and above),Exports of goods and services (% of GDP),Inflation GDP deflator (annual %),Population living in slums (% of urban population),Oil rents (% of GDP),Research and development expenditure (% of GDP),Expense (% of GDP),External debt stocks (% of GNI),Government expenditure on education total (% of GDP),Corruption Index
Denmark,100,100,0.949552355,10.18142054,-1.994607569,34.06753365,0,54.92962126,2.60762108,0,0.183933439,2.961539984,39.72607774,0,6.380000114,10
Finland,100,99.5192337,1.64238642,0,-2.205139373,19.84557412,0,35.92376167,1.481102024,0,0,2.935440063,41.15012834,0,5.880000114,13
Norway,100,97.59615326,0.571824685,0,-0.717182669,21.0850402,0,32.24525928,-3.604605158,0,4.289750286,2.276010036,45.79364467,0,5.900000095,16
Sweden,100,98.07691956,1.227811515,4.932482399,-2.170213179,26.57677683,0,43.84730253,1.994045928,0,0,3.527220011,34.71977387,0,7.170000076,17
Switzerland,100,97.11538696,0.543062675,1.313511088,-2.37556328,9.36977441,0,64.30703188,-0.74115299,0,0,0,20.09644376,0,5.21999979,18
Netherlands,100,96.15384674,0.624457503,0,-3.886083918,24.38163032,0,78.2654765,1.928572016,0,0.032546866,2.294229984,43.43489887,0,5.300000191,20
Germany,100,95.19230652,0.933353043,0,-3.696788705,10.5483889,0,43.01312903,1.810810222,0,0.008836998,3.14425993,32.57136397,0,4.659999847,21
Ireland,100,91.34615326,0.688566316,3.323709836,6.184538039,16.51031109,0,133.3372023,-1.565278573,8.5,0,1.232329965,25.8020064,0,3.099999905,23
Luxembourg,100,96.63461304,0.159750534,0,-0.797435589,25.13023922,0,199.6190009,4.694516219,0,0,1.128600001,42.65356902,0,4.96999979,23
Estonia,100,92.30769348,3.166133826,0,-0.551001258,20.69082004,0,69.27386299,-0.531509462,0,0.184946158,1.792469978,41.10834662,0,6.579999924,26
Iceland,100,94.71154022,1.465201465,8.584087702,-6.842296026,22.33478313,0,34.45124398,3.609520941,0,0,2.471760035,36.92361377,0,7.71999979,26
Belgium,100,89.90384674,0,7.769225224,-5.361386633,21.97014394,0,79.44673891,1.510720974,0,0,3.477200031,44.0412173,0,6.710000038,27
United Kingdom,100,94.2307663,0.900294343,18.67757493,-11.03085846,24.72698538,0,29.23718972,5.933146815,0,0.311976481,0,47.55720769,0,5.53000021,27
France,100,84.61538696,1.346641192,0,-7.784586492,24.69425039,0,27.45022764,2.784576522,0,0.004471729,2.354929924,51.91175471,0,5.5,28
Austria,100,90.86538696,0.721709007,0,-6.453968467,24.18692792,0,51.61281493,2.558602152,0,0.022711461,3.201280117,50.62974343,0,5.070000172,29
Lithuania,100,79.32691956,3.710110345,0,-0.021762974,19.8844929,0,73.2502234,1.783323187,0,0.011252747,1.155279994,34.89185423,0,0,38
Portugal,100,77.40384674,0.912059158,0,-8.300516042,22.04132031,0,37.04677424,2.003474567,0,0,1.61740005,44.57824239,0,5.010000229,38
Spain,100,76.44230652,0.637367946,14.01207573,-11.32543832,13.57517829,98.59445953,30.79994526,1.225566343,0,0.000389759,1.405410051,41.98413401,0,4.590000153,40
Latvia,100,75.4807663,3.711161371,7.953603945,-2.202985338,21.76853018,0,59.89934325,0.970729604,0,0,0.705500007,49.22682949,0,5.96999979,41
